First Name,Last Name,Username,Department,Job Title,County,Application Name,Account Name,Role or Permission,EmployeeType
Amelia,Davis,adavis772,Sales,Director,Monmouth,App9,Amelia Davis,Guest,Intern
Amelia,Davis,adavis772,Sales,Director,Monmouth,App8,Amelia Davis,Admin,Intern
Ava,Martinez,amartinez107,Legal,Analyst,Essex,App10,Ava Martinez,User,Intern
Ava,Martinez,amartinez107,Legal,Analyst,Essex,App5,Ava Martinez,User,Intern
Ava,Martinez,amartinez107,Legal,Analyst,Essex,App5,Ava Martinez,User,Intern
Ava,Martinez,amartinez107,Legal,Analyst,Essex,App1,Ava Martinez,Read-Only,Intern
Ava,Martinez,amartinez107,Legal,Analyst,Essex,App10,Ava Martinez,Power User,Intern
Ava,Martinez,amartinez107,Legal,Analyst,Essex,App9,Ava Martinez,Guest,Intern
Ava,Martinez,amartinez107,Legal,Analyst,Essex,App2,Ava Martinez,User,Intern
Noah,Davis,ndavis254,Legal,Director,Ocean,App4,Noah Davis,User,Intern
Noah,Davis,ndavis254,Legal,Director,Ocean,App5,Noah Davis,Guest,Intern
Noah,Davis,ndavis254,Legal,Director,Ocean,App10,Noah Davis,Read-Only,Intern
Noah,Davis,ndavis254,Legal,Director,Ocean,App10,Noah Davis,User,Intern
Noah,Rodriguez,nrodriguez760,Customer Service,Associate,Morris,App7,Noah Rodriguez,Guest,Employee
Noah,Rodriguez,nrodriguez760,Customer Service,Associate,Morris,App2,Noah Rodriguez,User,Employee
Noah,Rodriguez,nrodriguez760,Customer Service,Associate,Morris,App2,Noah Rodriguez,Admin,Employee
Noah,Rodriguez,nrodriguez760,Customer Service,Associate,Morris,App10,Noah Rodriguez,User,Employee
Noah,Rodriguez,nrodriguez760,Customer Service,Associate,Morris,App1,Noah Rodriguez,User,Employee
Emma,Brown,ebrown329,Sales,Associate,Hudson,App7,Emma Brown,Admin,Employee
Emma,Brown,ebrown329,Sales,Associate,Hudson,App1,Emma Brown,Guest,Employee
Emma,Brown,ebrown329,Sales,Associate,Hudson,App5,Emma Brown,User,Employee
Emma,Brown,ebrown329,Sales,Associate,Hudson,App3,Emma Brown,User,Employee
Emma,Brown,ebrown329,Sales,Associate,Hudson,App3,Emma Brown,User,Employee
Olivia,Smith,osmith990,Operations,Coordinator,Morris,App6,Olivia Smith,User,Employee
Olivia,Smith,osmith990,Operations,Coordinator,Morris,App10,Olivia Smith,User,Employee
Olivia,Smith,osmith990,Operations,Coordinator,Morris,App3,Olivia Smith,User,Employee
Olivia,Smith,osmith990,Operations,Coordinator,Morris,App6,Olivia Smith,Guest,Employee
Olivia,Brown,obrown786,Sales,Consultant,Passaic,App9,Olivia Brown,Admin,Intern
